Fruits/Vegetables,Meat,Grains,Dairy,
Alfalfa Sprouts,Aardvark,,1% milk,
Apple,Abalone,Barley,2% milk,
Apricot,African Buffalo,Buckwheat,Milk ,
Artichoke,Ahi Tuna,,Acid Whey,
Asian Pear,Albacore,Corn,Ammonium Caseinate,
Asparagus,Alligator,Einkorn (Triticum monococcum L),Anhydrous Milk Fat,
Atemoya,Alpaca Meat,Farro,Artificial Butter,
Avocado,Amphibian Egg,,Artificial Butter Flavor,
Bamboo Shoots,Ant,,Butter,
Banana,Antelope Meat,,Butter Extract,
Bean Sprouts,Bass,,Butter Fat,
Beans,Bear Meat,Millet,Butter Flavored Oil,
Beets,Bee,Oats,Buttermilk,
Belgian Endive,Bee Larva,Quinoa,Buttermilk Blend,
Bell Peppers,Beef,Rice,Buttermilk Powder,
Bitter Melon,Beetle,Rye,Buttermilk Solids,
Blackberries,Beluga Caviar,,Butter Oil,
Blueberries,Bird Egg,Spelt,Butter Soilds,
Bok Choy,Bison,,Calcium Caseinate,
Boniato,Brain,,Casein,
Boysenberries,Buffalo,Wheat,Casein Hydrolysates,
Broccoflower,Bugs,,Caseinate,
Broccoli,Carp,,Cheese (all types),
Brussels Sprouts,Cat Meat,,Cheese Flavor (artificial and natural),
Cabbage,Caterpillar,,Cheese Food,
Cactus Pear,Catfish,,Chocolate,
Cantaloupe,Caviar,,Condensed Milk,
Carambola,Chicken,,Cottage Cheese,
Carrots,Chicken Eggs,,Cream,
Casaba Melon,Clam,,Cream Cheese,
Cauliflower,Coconut Grubs,,Cultured Milk,
Celery,Crab,,Curds,
Chayote,Crab Roe,,Curd Whey,
Cherimoya,Crickets,,Custard,
Cherries,Crocodile,,Dairy Butter,
Coconuts,Deer,,Dairy Product Solids,
Collard Greens,Dog Meat,,Delactosed Whey,
Corn,Donkey Meat,,Demineralized Why,
Cranberries,Duck,,Derivative Milk,
Cucumber,Duck Eggs,,Dried Milk,
Dates,Eel,,Dry Milk,
Dried Plums,Eggs,,Dry Milk Powder,
Eggplant,Elk,,Dry Milk Solids (DMS),
Endive,Emu,,Evaporated Milk,
Escarole,Emu Egg,,Fat Free Milk ,
Feijoa,Escamole (Ant Larvae),,Fully Cream Milk Powder,
Fennel,Escargots,,Galactose,
Figs,Fish,,Ghee,
Garlic,Flounder,,Goat Cheese,
Gooseberries,Frog,,Goast Milk,
Grapefruit,Frog Eggs,,Half & Half,
Grapes,Gnu,,Hydrolyzed Casein,
Green Beans,Goose,,Hydrolyzed Whey,
Green Onions,Goose Egg,,Ice Cream ,
Greens,Gopher,,Ice Milk,
Guava,Grasshopper,,Imitation Cheese,
Hominy,Grouper,,Imitation Sour Cream,
Honeydew Melon,Guanaco,,Iron Caseinate,
Horned Melon,Guinea Fowl,,Kefir,
Iceberg Lettuce,Guinea Fowl Egg,,Kourmiss,
Jerusalem Artichoke,Hare,,Lactaid Milk,
Jicama,Heart,,Lactalbumin,
Kale,Herring,,Lactalbumin phosphate,
Kiwifruit,Horse Meat,,Lactate solids,
Kohlrabi,Ibex,,Lactitol Monohyrdrate,
Kumquat,Iguana,,Lactoferrin,
Leeks,Jellyfish,,Lactoglobulin,
Lemons,Kangaroo,,Lactose,
Lettuce,Kidney,,Lactose Free Milk,
Lima Beans,Lamb,,Lactulose,
Limes,Leech,,Lactyc Yeast,
Longan,Liver,,Low Fat Milk,
Loquat,Lizard,,Malted Milk,
Lychee,Lizard Eggs,,Milk,
Madarins,Llama Meat,,Milk Derivative,
Malanga,Lobster,,Milk Fat,
Mandarin Oranges,Lobster Roe,,Milk Powder,
Mangos,Merling,,Milk Protein,
Mulberries,Moose Meat,,Milk Protein Hydrolysates,
Mushrooms,Mouse,,Milk Solid Pastes,
Napa,Mullet,,Milk Solids,
Nectarines,Mullet Roe,,Natural Butter,
Okra,Musk Ox,,Natural Butter Flavor,
Onion,Mussels,,Nisin Preparation,
Oranges,Mutton,,Nonfat Dry Milk,
Papayas,Octopus,,Nonfat Milk,
Parsnip,Opossum,,Nonfat Milk Solids,
Passion Fruit,Ostrich,,Nougat,
Peaches,Ostrich Egg,,Paneer,
Pears,Oxen,,Pasteurized Milk,
Peas,Oyster,,Potassium Caseinate,
Peppers,Partridge,,Powdered Milk,
Persimmons,Partridge Egg,,Powdered Whey,
Pineapple,Pigeon,,Protein Hydrolysates,
Plantains,Pork,,Pudding,
Plums,Prawns,,Quark,
Pomegranate,Ptarmigan,,Recaldent,
Potatoes,Python,,Reduced Mineral Whey,
Prickly Pear,Quail,,Rennet,
Prunes,Quail Eggs,,Rennet Casein,
Pummelo,Rabbit,,Sheep Milk,
Pumpkin,Raccoon,,Sheep Milk Cheese,
Quince,Rat Meat,,Sherbet,
Radicchio,Rattlesnake,,Skim Milk,
Radishes,Rhea,,Skim Milk Powder,
Raisins,Rhea Egg,,Sodium Caseinate,
Raspberries,Roe,,Sour Cream,
Red Cabbage,Sago Grubs,,Sour Cream Solids,
Rhubarb,Sago Palm Weevil Larvae,,Sour Milk,
Romaine Lettuce,Salmon,,Sour Milk Solids,
Rutabaga,Scallops,,Sweet Cream,
Shallots,Scorpion,,Sweet Cream Buttermilk Powder,
Snow Peas,Seal Meat,,Sweet Dairy Whey,
Spinach,Sea Bass,,Sweetened Condensed Milk,
Sprouts,Sea Cucumber,,Sweetened Condensed Skim Milk,
Squash,Sea Lion,,Vegetarian Cheese with Casein,
Strawberries,Sea Trout,,Whey,
String Beans,Sea Urchin,,Whey Hydrolysates,
Sweet Potato,Shark,,Whey Powder,
Tangelo,Shrimp,,Whey Protein,
Tangerines,Smelt,,Whey Protein Concentrate,
Tomatillo,Smelt Cavier,,Whey Protein Hydrolysates,
Tomato,Snail,,Whey Solids,
Turnip,Snake,,Whipped Butter,
Ugli Fruit,Snake Egg,,Whipped Cream,
Water Chestnuts,Spider,,Whole Milk,
Watercress,Squid,,Yogurt (regular or frozen),
Watermelon,Squirrel,,Yogurt Powder,
Waxed Beans,Swan,,Zinc Caseinate,
Yams,Swan Egg,,,
Yellow Squash,Swordfish,,,
Yuca/Cassava,Tarantula,,,
Zucchini Squash,Tilapia,,,
,Toad,,,
,Trout,,,
,Tuna,,,
,Turkey,,,
,Turkey Eggs,,,
,Turtle,,,
,Turtle Eggs,,,
,Urchin,,,
,Urchin Roe,,,
,Venison,,,
,Viper,,,
,Walrus,,,
,Wasps,,,
,Whale Meat,,,
,Whitefish,,,
,Whitefish Roe,,,
,Whiting,,,
,Worms,,,
,Wtchetty Grubs,,,
,Xia Shrimp,,,
,Yak,,,
,Yellow Jacket,,,
,Yellowfin Tuna,,,
,Zaza-Mushi (Stonefly Larvae),,,
,Zebra,,,
